ADDRESS,CITY,STATE,ZIP,LAST SOLD PRICE,BEDS,BATHS,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,LATITUDE,LONGITUDE
167 Highwood Ave,Tenafly,NJ,7670,,0,,1224,8415,1903,,40.924661,-73.953164
21 Royden Rd,Tenafly,NJ,7670,1254000,5,3,,16731,,433,40.931067,-73.951312
10 Depeyster Ave,Tenafly,NJ,7670,,0,,4142,22263,1921,,40.9198949,-73.956269
121 Stonehurst Dr,Tenafly,NJ,7670,1262500,4,3.5,,20905,,136,40.917274,-73.9551989
25 Esmond Pl,Tenafly,NJ,7670,1270000,5,4.5,,8193,,73,40.929482,-73.9744424
16 Richard St,Tenafly,NJ,7670,,0,,3089,10999,2001,,40.9282818,-73.9784653
70 Country Club Rd,Tenafly,NJ,7670,,0,,1352,9374,1951,,40.9153936,-73.9763064
1 Mission Way,Tenafly,NJ,7670,1300000,5,3.5,,10735,,132,40.909089,-73.961105
61 Kent Rd,Tenafly,NJ,7670,,0,,2905,40946,1957,,40.90855,-73.948499
28 Depeyster Ave,Tenafly,NJ,7670,1300000,8,8.5,,35530,,104,40.9210767,-73.9559568
15 N Browning Ave,Tenafly,NJ,7670,1300000,5,4.5,,10001,,276,40.925029,-73.980496
78 Richard St,Tenafly,NJ,7670,1335000,4,3.5,,12501,,429,40.9280197,-73.9803281
168 E Clinton Ave,Tenafly,NJ,7670,1337750,4,3.5,,21802,,127,40.918097,-73.955921
155 Columbus Dr,Tenafly,NJ,7670,,0,,3662,14000,1991,,40.93144,-73.976534
,Tenafly,NJ,7670,1350000,5,3,,42689,,69,,
19 Walnut Dr,Tenafly,NJ,7670,1351000,5,4.5,,14000,,177,40.91527,-73.970538
80 Depeyster Ave,Tenafly,NJ,7670,1365000,5,4,,18278,,231,40.9240179,-73.954043
,Tenafly,NJ,7670,1375000,6,4.5,,38640,,51,,
18 N Lyle Ave,Tenafly,NJ,7670,1375000,5,4.5,,16701,,105,40.925072,-73.978853
69 Leonard Ave,Tenafly,NJ,7670,1388000,5,4.5,,8580,,335,40.915331,-73.9674409
200 Hudson Ave,Tenafly,NJ,7670,,0,,1812,15151,1954,,40.928424,-73.951954
500 Tenafly Rd,Tenafly,NJ,7670,,0,,3056,,2001,,40.9299627,-73.9657667
239 Devon Rd,Tenafly,NJ,7670,,0,,2502,43124,1958,,40.911291,-73.952979
274 Woodland St,Tenafly,NJ,7670,,0,,3494,50855,1958,,40.910794,-73.948953
502 Heights Ln,Tenafly,NJ,7670,,0,,2932,,2001,,,
24 Knoll Rd,Tenafly,NJ,7670,,0,,2820,13286,1958,,40.931379,-73.952449
44 Forest Rd,Tenafly,NJ,7670,,0,,3659,17799,1943,,40.921919,-73.954756
28 Marcotte Ln,Tenafly,NJ,7670,,0,,2798,27199,1951,,40.918999,-73.981491
45 Oxford Dr,Tenafly,NJ,7670,1418000,5,3,,42689,,87,40.9123639,-73.948309
21 Edgewood St,Tenafly,NJ,7670,,0,,3026,12898,1960,,40.914403,-73.956719
136 Oak St,Tenafly,NJ,7670,,0,,2817,10542,1973,,40.9112579,-73.9607
30 Downey Dr,Tenafly,NJ,7670,,0,,2223,11626,1951,,40.912861,-73.961504
29 Stonybrook Rd,Tenafly,NJ,7670,1500000,5,3.5,,26001,,174,40.927037,-73.944697
66 Essex Dr,Tenafly,NJ,7670,1512500,5,3.5,,40511,,216,40.905031,-73.9438739
80 Homestead Rd,Tenafly,NJ,7670,1515000,6,5.5,,19998,,128,40.924807,-73.948697
104 Elm St,Tenafly,NJ,7670,,0,,1507,9375,1913,,40.9111959,-73.962397
149 Magnolia Ave,Tenafly,NJ,7670,1550000,5,4.5,,11628,,112,40.931653,-73.958971
163 Newcomb Rd,Tenafly,NJ,7670,,0,,3874,12001,2001,,40.932371,-73.976421
176 Leroy St,Tenafly,NJ,7670,,0,,5068,45738,1962,,40.912913,-73.95334
11 Mountain Rd,Tenafly,NJ,7670,1574000,6,4.5,,,,181,40.921294,-73.954857
1 Stanton Rd,Tenafly,NJ,7670,,0,,3200,40946,1967,,40.925145,-73.9467729
15 Coppell Dr,Tenafly,NJ,,1585000,5,4.5,,,,1,,
15 Coppel Dr,Tenafly,NJ,7670,,0,,3385,9200,1947,,40.916065,-73.959132
6 Lancaster Rd,Tenafly,NJ,7670,1610000,5,3.5,,43995,,434,40.909593,-73.947746
40 Wood Rd,Tenafly,NJ,7670,1625000,4,3.5,,49222,,385,40.924628,-73.947793
219 Engle St,Tenafly,NJ,7670,1663000,5,4.5,,13765,,83,40.922992,-73.959023
32 Lylewood Dr,Tenafly,NJ,7670,1680000,5,3.5,,12919,,443,40.926583,-73.9729289
135 Lawrence Pkwy,Tenafly,NJ,7670,1700000,5,4.5,,38760,,258,40.918353,-73.958284
5 Woodhill Rd,Tenafly,NJ,7670,,0,,3818,52272,1941,,40.919581,-73.952777
79 Oak Ave,Tenafly,NJ,7670,1780000,5,4.5,,32000,,58,40.9139208,-73.9781899
164 Hickory Ave,Tenafly,NJ,7670,1780000,6,6.5,,13800,,6,40.932977,-73.970067
29 Kenwood Rd,Tenafly,NJ,7670,1799000,5,4.5,,11626,,69,40.9215672,-73.9577554
132 Buckingham Rd,Tenafly,NJ,7670,,0,,5918,40075,1992,,40.906182,-73.949172
73 Hastings Dr,Tenafly,NJ,7670,,0,,4782,77972,1987,,40.913763,-73.945509
86 Norman Pl,Tenafly,NJ,7670,1885000,6,5.5,,,,101,40.9225334,-73.9767705
85 Mayflower Dr,Tenafly,NJ,7670,1942000,5,4.5,,44867,,219,40.90463,-73.954462
98 Thatcher Rd,Tenafly,NJ,7670,2000000,5,4.5,,12998,,83,40.9157983,-73.9572018
60 Farview Rd,Tenafly,NJ,7670,2100000,5,3.5,,43124,,402,40.918836,-73.950107
35 Forest Rd,Tenafly,NJ,7670,,0,,1524,17480,1948,,40.922688,-73.954742
,Tenafly,NJ,7670,2300000,5,5.5,,20094,,161,,
183 Highwood Ave,Tenafly,NJ,7670,,0,,1784,26502,1951,,40.924208,-73.951725
44 Sunderland Rd,Tenafly,NJ,7670,2400000,7,5.5,,40075,,297,40.917483,-73.945055
22 Lancaster Rd,Tenafly,NJ,7670,2400000,5,5.5,,43995,,434,40.909773,-73.945314
34 Nelson Pl,Tenafly,NJ,7670,,0,,5681,40511,1998,,40.915259,-73.94851
29 Kent Rd,Tenafly,NJ,7670,2600000,5,5,,50965,,115,40.908761,-73.949907
285 Woodland St,Tenafly,NJ,7670,2625000,7,6.5,,40511,,239,40.911093,-73.947
236 Highwood Ave,Tenafly,NJ,7670,2700000,5,5.5,,46173,,394,40.92,-73.950873
179 Highwood Ave,Tenafly,NJ,7670,2700000,6,7,,25725,,244,40.92442,-73.951999
30 Homestead Rd,Tenafly,NJ,7670,2800000,6,5.5,,22198,,309,40.923657,-73.950619
147 Buckingham Rd,Tenafly,NJ,7670,2950000,6,5.5,,41382,,415,40.9066933,-73.9482193
147 Churchill Rd,Tenafly,NJ,7670,2970000,7,7.5,,41382,,49,40.90639,-73.953963
,Tenafly,NJ,7670,3000000,7,5.5,,,,433,,
14 Brook Rd,Tenafly,NJ,7670,3275000,7,8.5,,32980,,260,40.927204,-73.953113
62 Park St,Tenafly,NJ,7670,,0,,5172,65340,1903,,40.926851,-73.953612
236 Hudson Ave,Tenafly,NJ,7670,3400000,7,7.5,,37880,,343,40.9276722,-73.9502282
140 Tekening Dr,Tenafly,NJ,7670,3500000,6,8.5,,67953,,6,40.922792,-73.948044
141 Tekening Dr,Tenafly,NJ,7670,3875000,8,7.5,,40075,,49,40.921605,-73.947504
140 Deerfield Dr,Tenafly,NJ,7670,4450000,7,9.5,,42688,,365,40.920445,-73.943957
