ADDRESS,CITY,STATE,ZIP,LAST SOLD PRICE,BEDS,BATHS,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,LATITUDE,LONGITUDE
4 Edward Ct,Tenafly,NJ,7670,543000,3,2.5,,6700,,205,40.924555,-73.957838
33 Esmond Pl,Tenafly,NJ,7670,545000,3,2,,,,373,40.9299869,-73.9746119
180 W Clinton Ave,Tenafly,NJ,7670,545000,4,2,,6752,,97,40.924449,-73.973927
22 Wight Pl,Tenafly,NJ,7670,550000,4,2.5,,12741,,300,40.9290586,-73.97505
109 Magnolia Ave,Tenafly,NJ,7670,550000,3,1.5,,10672,,437,40.928953,-73.960425
144 E Clinton Ave,Tenafly,NJ,7670,,0,,2328,11731,1953,,40.919208,-73.957551
26 Leonard Ave,Tenafly,NJ,7670,550000,3,2,,6777,,398,40.915484,-73.970078
3112 Tenafly Ct,Tenafly,NJ,7670,,0,,1280,,2009,,,
40 Christie St,Tenafly,NJ,7670,552500,3,1.5,,7000,,329,40.929133,-73.973117
36 S Lyle Ave,Tenafly,NJ,7670,555000,4,3,,8002,,269,40.9232469,-73.9788178
54 Oak St,Tenafly,NJ,7670,,0,,1526,4961,1913,,40.913184,-73.964148
40 Columbus Dr,Tenafly,NJ,7670,559000,3,2,,7349,,101,40.931283,-73.967612
15 Daisy Pl,Tenafly,NJ,7670,,0,,1620,5001,1930,,40.9299172,-73.9733346
44 Buff Rd,Tenafly,NJ,7670,,0,,1463,9601,1953,,40.929158,-73.979708
49 Elm St,Tenafly,NJ,7670,,0,,1624,7440,1953,,40.9129059,-73.9644384
30 Elm St,Tenafly,NJ,7670,570000,5,2.5,,5100,,444,40.912988,-73.9657
28 Westervelt Ave,Tenafly,NJ,7670,,0,,2282,11266,1956,,40.918375,-73.963954
76 Columbus Dr,Tenafly,NJ,7670,,0,,1222,9557,1943,,40.931204,-73.969459
128 Columbus Dr,Tenafly,NJ,7670,570000,3,2,,7000,,147,40.931021,-73.9740489
228 E Clinton Ave,Tenafly,NJ,7670,,0,,1398,24999,1953,,40.9152,-73.953251
,Tenafly,NJ,7670,575000,3,3,,,,267,,
176 Newcomb Rd,Tenafly,NJ,7670,,0,,1802,8799,1943,,40.9318982,-73.9777911
59 Sunset Ln,Tenafly,NJ,7670,,0,,1768,7401,1960,,40.930813,-73.969209
23 Sunset Ter,Tenafly,NJ,7670,590000,4,2,,6120,,93,40.930603,-73.979169
32 Benjamin Rd,Tenafly,NJ,7670,,0,,1811,12000,1949,,40.917482,-73.973292
161 Newcomb Rd,Tenafly,NJ,7670,598000,3,2,,8999,,188,40.9323336,-73.976121
152 Magnolia Ave,Tenafly,NJ,7670,600000,3,2,,8751,,36,40.931447,-73.958202
135 Hudson Ave,Tenafly,NJ,7670,,0,,1818,12001,1940,,40.93136,-73.955677
151 Sunset Ln,Tenafly,NJ,7670,,0,,1648,7000,1938,,40.930523,-73.976208
5 Lylewood Dr,Tenafly,NJ,7670,,0,,1570,9375,1951,,40.927069,-73.971769
16 Oak Ave,Tenafly,NJ,7670,,0,,1720,5000,1933,,40.9141058,-73.9736296
34 Mellon Ln,Tenafly,NJ,7670,603000,4,2,,9374,,401,40.926358,-73.974152
3308 Tenafly Ct,Tenafly,NJ,7670,,0,,1692,,2009,,,
82 Hazelton Ter,Tenafly,NJ,7670,,0,,2019,10350,1903,,40.9339129,-73.973497
10 Mellon Ln,Tenafly,NJ,7670,,0,,1475,9374,1950,,40.927154,-73.9741
293 Riveredge Rd,Tenafly,NJ,7670,614000,3,2,,12349,,1,40.927786,-73.981726
8 Cameron Rd,Tenafly,NJ,7670,,0,,1729,5998,1944,,40.924475,-73.969492
104 Columbus Dr,Tenafly,NJ,7670,615000,4,3,,3798,,100,40.931178,-73.9718259
326 Knickerbocker Rd,Tenafly,NJ,7670,615000,4,3,,9901,,416,40.923581,-73.9776119
75 N Browning Ave,Tenafly,NJ,7670,,0,,1392,8499,1948,,40.927119,-73.980681
58 Burlington Rd,Tenafly,NJ,7670,,0,,2150,8176,1923,,40.9205527,-73.9768486
37 Surrey Ln,Tenafly,NJ,7670,,0,,2308,7501,1936,,40.92416,-73.972512
52 Day Ave,Tenafly,NJ,7670,620000,4,3,,10001,,380,40.933435,-73.979324
91 Christie St,Tenafly,NJ,7670,621000,3,2,,8698,,339,40.929486,-73.975976
32 Sussex Rd,Tenafly,NJ,7670,,0,,2540,9300,1928,,40.920141,-73.970917
258 E Clinton Ave,Tenafly,NJ,7670,625000,3,3,,26571,,413,40.914193,-73.951703
4 Marconi St,Tenafly,NJ,7670,635000,4,3,,11552,,6,40.930548,-73.980531
46 Richard St,Tenafly,NJ,7670,635000,4,3,,10624,,108,40.928011,-73.979846
75 Serpentine Rd,Tenafly,NJ,7670,640000,3,1.5,,6272,,430,40.913355,-73.965346
245 Hickory Ave,Tenafly,NJ,7670,640000,3,2,,14175,,399,40.933162,-73.977052
55 Tenafly Rd,Tenafly,NJ,7670,645000,4,1.5,,8960,,248,40.914901,-73.9719439
1 Colonial Rd,Tenafly,NJ,7670,,0,,1801,7500,1943,,40.93263,-73.979589
159 Sussex Rd,Tenafly,NJ,7670,650000,4,3.5,,8176,,444,40.920242,-73.977115
16 Marcotte Ln,Tenafly,NJ,7670,,0,,1798,12000,1911,,40.918711,-73.981119
43 Woodmere Ln,Tenafly,NJ,7670,,0,,1789,19467,1950,,40.9259289,-73.973387
3303 Tenafly Ct,Tenafly,NJ,7670,,0,,1995,,2009,,,
88 Newcomb Rd,Tenafly,NJ,7670,,0,,1530,8999,1960,,40.932187,-73.969633
44 Floral Ter,Tenafly,NJ,7670,665900,3,2.5,,13051,,219,40.922747,-73.980076
8 Cobblestone Way,Tenafly,NJ,7670,,0,,1696,,2008,,40.9313892,-73.9633917
14 Wight Pl,Tenafly,NJ,7670,670000,3,2.5,,7048,,353,40.9284,-73.974912
20 Ravine Rd,Tenafly,NJ,7670,,0,,2233,9239,1911,,40.9232299,-73.959754
112 Westervelt Ave,Tenafly,NJ,7670,,0,,2061,18199,1911,,40.921047,-73.9713699
12 N Summit St,Tenafly,NJ,7670,675000,3,2,,11251,,437,40.932742,-73.956166
121 Newcomb Rd,Tenafly,NJ,7670,680000,3,2,,7680,,48,40.932548,-73.972413
103 Hillside Ave,Tenafly,NJ,7670,,0,,2018,9300,1928,,40.922376,-73.9593529
56 Woodmere Ln,Tenafly,NJ,7670,,0,,1766,10250,1951,,40.925327,-73.9741279
29 Sussex Rd,Tenafly,NJ,7670,690000,3,3,,5000,,370,40.920554,-73.970935
2 Coppel Dr,Tenafly,NJ,7670,,0,,2029,10920,1949,,40.916534,-73.9610809
2 Coppell Dr,Tenafly,NJ,,690000,4,3,,10920,,1,,
123 Sunset Ln,Tenafly,NJ,7670,,0,,2388,7000,1931,,40.930628,-73.973474
41 Burlington Rd,Tenafly,NJ,7670,695000,4,3.5,,7575,,430,40.9210174,-73.9762047
273 Engle St,Tenafly,NJ,7670,698000,3,2.5,,9840,,281,40.926111,-73.958433
8 Somerset Rd,Tenafly,NJ,7670,698000,3,2,,6199,,240,40.923806,-73.96952
147 Magnolia Ave,Tenafly,NJ,7670,,0,,2140,11550,1923,,40.931471,-73.959097
1 N Summit St,Tenafly,NJ,7670,700000,3,3.5,,11591,,38,40.932651,-73.954862
296 County Rd,Tenafly,NJ,7670,,0,,1488,11334,1903,,40.933621,-73.95734
575 Knickerbocker Rd,Tenafly,NJ,7670,,0,,2157,8250,1943,,40.932481,-73.977761
7 Standish Ct,Tenafly,NJ,7670,,0,,1526,8925,1953,,40.912846,-73.976652
16 Norman Pl,Tenafly,NJ,7670,705000,4,2,,19001,,92,40.922471,-73.970359
89 E Clinton Ave,Tenafly,NJ,7670,,0,,2926,10000,1911,,40.921655,-73.960505
131 Hudson Ave,Tenafly,NJ,7670,,0,,1251,22499,1938,,40.931589,-73.955812
139 Stonehurst Dr,Tenafly,NJ,7670,,0,,2748,21301,1955,,40.916464,-73.954257
42 Oak Ave,Tenafly,NJ,7670,,0,,1864,8024,1939,,40.913846,-73.976052
96 Buff Rd,Tenafly,NJ,7670,,0,,1623,11680,1953,,40.929045,-73.982045
25 S Park Dr,Tenafly,NJ,7670,,0,,1893,14401,1954,,40.913823,-73.960481
71 Ivy Ln,Tenafly,NJ,7670,,0,,2560,11025,1946,,40.9126608,-73.9792432
39 Elm St,Tenafly,NJ,7670,720000,3,3,,6198,,345,40.913109,-73.964753
141 Westervelt Ave,Tenafly,NJ,7670,,0,,1695,7449,1933,,40.92175,-73.973917
256 Engle St,Tenafly,NJ,7670,728000,3,2,,30952,,276,40.92561,-73.957617
63 Newcomb Rd,Tenafly,NJ,7670,,0,,1550,12001,1943,,40.932726,-73.968165
135 Magnolia Ave,Tenafly,NJ,7670,729000,3,2.5,,,,444,40.93069,-73.959611
47 Newcomb Rd,Tenafly,NJ,7670,,0,,1708,8999,1959,,40.932714,-73.9675396
8 Westervelt Ave,Tenafly,NJ,7670,,0,,2776,20928,1903,,40.917333,-73.96242
269 Engle St,Tenafly,NJ,7670,,0,,1344,10001,1937,,40.925891,-73.958511
17 Depeyster Ave,Tenafly,NJ,7670,,0,,2396,11100,1933,,40.9205169,-73.956718
